TLA,Journal,Primary Discipline,SPIN Major Disciplines Combined,JCR Information,Other Relevant Indexing,Open Access (OA),APC (If OA),SAGE Path Status
DSN,International Journal of Distributed Sensor Networks,Materials Science & Engineering,Materials Science & Engineering,Impact Factor,"ESCI, PMC, SCOPUS",Yes,2200 USD,
DTI,Drug Target Insights,Pharmacology & Toxicology,Clinical Medicine,,SCOPUS,Yes,1848 USD,Included
DVR,Diabetes and Vascular Disease Research,Cardiology & Cardiovascular Medicine,Clinical Medicine,Impact Factor,SCOPUS,Yes,750 USD,
EAR,ENT Journal,Clinical Medicine,Clinical Medicine,Impact Factor,"Medline, PMC, SCOPUS",Yes,None,Included
EEA,Energy Exploration & Exploitation,Materials Science & Engineering,"Geography, Earth & Environmental Science",Impact Factor,SCOPUS,Yes,1200 USD,
EHI,Environmental Health Insights,"Geography, Earth & Environmental Science","Geography, Earth & Environmental Science",,SCOPUS,Yes,1500 USD,Included
EJI,European Journal of Inflammation,Clinical Medicine,Clinical Medicine,Impact Factor,ESCI,Yes,1500 USD,Included
ENB,International Journal of Engineering Business Management,Materials Science & Engineering,Materials Science & Engineering,,SCOPUS,Yes,900 USD,
END,Clinical Medicine Insights: Endocrinology and Diabetes,Clinical Medicine,Clinical Medicine,,SCOPUS,Yes,1500 USD,Included
ENS,Journal of Eurasian Studies,Area & Ethnic Studies,Area & Ethnic Studies,,SCOPUS,Yes,None,
ENT,"Clinical Medicine Insights: Ear, Nose and Throat",Clinical Medicine,Clinical Medicine,,SCOPUS,Yes,1848 USD,Included
EPI,Epilepsy Currents,Other Health Specialties,Clinical Medicine,Impact Factor,,Yes,None,
EPP,Journal of Experimental Psychopathology,"Psychology, Psychiatry & Counseling",Psychology,Impact Factor,,Yes,500 USD,
ERO,AERA Open,Education,Education,,SCOPUS,Yes,200 USD,
EUV,European View,Political Science & International Relations,Political Science & International Relations,,"Medline, SCOPUS",Yes,None,
EVB,Evolutionary Bioinformatics,Life & Biomedical Sciences,General Biology,Impact Factor,"ESCI, PMC, SCOPUS",Yes,2000 USD,
EVP,Evolutionary Psychology,"Psychology, Psychiatry & Counseling",Psychology,Impact Factor,,Yes,800 USD,
EXN,Journal of Experimental Neuroscience,Life & Biomedical Sciences,Psychology,,SCOPUS,Yes,1500 USD,Included
FAO,Foot & Ankle Orthopaedics,"Orthopedics, Biomechanics & Sports Medicine",Clinical Medicine,,SCOPUS,Yes,1000 USD,
GAE,Epigenetics Insights,Life & Biomedical Sciences,General Biology,,SCOPUS,Yes,1500 USD,Included
GAM,Global Advances in Health and Medicine,Other Health Specialties,Clinical Medicine,,"ESCI, SCOPUS",Yes,900 USD,Included
GCH,Global Media and China,Communication & Media Studies,Communication & Media Studies,,"ESCI, SCOPUS",Yes,None,
GGM,Gerontology and Geriatric Medicine,Aging & Gerontology,Aging & Gerontology,,,Yes,1200 USD,Included
GNG,Gender and the Genome,Clinical Medicine,Gender & Sexuality Studies,,PMC,Yes,750 USD,Included
GOS,Geriatric Orthopaedic Surgery & Rehabilitation,"Orthopedics, Biomechanics & Sports Medicine",Clinical Medicine,,"ESCI, PMC",Yes,1500 USD,Included
GPH,Global Pediatric Health,Clinical Medicine,Clinical Medicine,,ESCI,Yes,1500 USD,Included
GQN,Global Qualitative Nursing Research,Nursing,Nursing,,SCOPUS,Yes,1000 USD,Included
GRH,Global & Regional Health Technology Assessment,Clinical Medicine,Nursing,,"ESCI, PMC, SCOPUS",Yes,1500 USD,Included
GSJ,Global Spine Journal,Neurology,Clinical Medicine,,,Yes,1500 USD,Included
HIC,Journal of Investigative Medicine High Impact Case Reports,Clinical Medicine,Clinical Medicine,,SCOPUS,Yes,750 USD,Included
HIS,Health Services Insights,Public Health,Public Health,,SCOPUS,Yes,1500 USD,Included
HJO,Hong Kong Journal of Occupational Therapy,Clinical Medicine,Clinical Medicine,Impact Factor,SCOPUS,Yes,None,Included
HKJ,Hong Kong Journal of Emergency Medicine,Clinical Medicine,Clinical Medicine,Impact Factor,"ESCI, PMC",Yes,None,Included
HME,Health Services Research and Managerial Epidemiology,Public Health,Public Health,,"Medline, SCOPUS",Yes,1200 USD,Included
HPO,Health Psychology Open,"Psychology, Psychiatry & Counseling",Nursing,,"ESCI, Medline, SCOPUS",Yes,1000 USD,
ICM,Indian Journal of Clinical Medicine,Clinical Medicine,Clinical Medicine,,"ESCI, PMC, SCOPUS",Yes,1848 USD,
ICR,Clinical Medicine Insights: Case Reports,Clinical Medicine,Clinical Medicine,,PMC,Yes,1848 USD,Included
ICT,Integrative Cancer Therapies,Cancer / Oncology,Clinical Medicine,Impact Factor,"ESCI, SCOPUS",Yes,2000 USD,Included
IDR,Infectious Diseases: Research and Treatment,Clinical Medicine,Clinical Medicine,,,Yes,1500 USD,Included
III,Immunology and Immunogenetics Insights,Life & Biomedical Sciences,Clinical Medicine,,SCOPUS,Yes,1699 USD,Included
IJI,International Journal of Immunopathology and Pharmacology,Clinical Medicine,Clinical Medicine,Impact Factor,"Medline, SCOPUS",Yes,2000 USD,Included
IJQ,International Journal of Qualitative Methods,Research Methods & Evaluation,Research Methods & Evaluation,Impact Factor,"Medline, SCOPUS",Yes,1000 USD,Included
IMR,Journal of International Medical Research,Clinical Medicine,Public Health,Impact Factor,"Medline, PMC, SCOPUS",Yes,325 GBP per page,Included
INI,Innate Immunity,Clinical Medicine,Clinical Medicine,Impact Factor,"ESCI, SCOPUS",Yes,2000 USD,
INQ,INQUIRY,Public Health,Public Health,Impact Factor,SCOPUS,Yes,1200 USD,Included
INS,International Journal of Insect Science,Other Health Specialties,General Biology,,"ESCI, SCOPUS",Yes,750 USD,
IPE,i-Perception,"Psychology, Psychiatry & Counseling",Psychology,Impact Factor,"ESCI, SCOPUS",Yes,530 GBP,
JBF,Journal of Applied Biomaterials & Functional Materials,Materials Science & Engineering,Materials Science & Engineering,Impact Factor,"Medline, SCOPUS",Yes,1125 USD,
JBM,"International Journal of Biological Markers, The",Clinical Medicine,Clinical Medicine,Impact Factor,SCOPUS,Yes,2000 USD,Included
JEF,Journal of Engineered Fibers and Fabrics,Materials Science & Engineering,Materials Science & Engineering,Impact Factor,"ESCI, SCOPUS",Yes,1000 USD,
JHI,Health Informatics Journal,Other Health Specialties,Business & Management,Impact Factor,"Medline, SCOPUS",Yes,750 USD,
JIA,Journal of the International Association of Providers of AIDS Care,Clinical Medicine,Clinical Medicine,,"Medline, SCOPUS",Yes,1500 USD,Included
JMH,American Journal of Men's Health,Clinical Medicine,Clinical Medicine,Impact Factor,SCOPUS,Yes,2000 USD,Included
JOR,Journal of Feline Medicine and Surgery Open Reports,Other Health Specialties,General Biology,,SCOPUS,Yes,640 USD,
JPC,Journal of Primary Care & Community Health,Clinical Medicine,Public Health,,SCOPUS,Yes,1200 USD,Included
JPX,Journal of Patient Experience,Clinical Medicine,Clinical Medicine,,SCOPUS,Yes,None,Included
JRA,Journal of the Renin-Angiotensin-Aldosterone System,Cardiology & Cardiovascular Medicine,Clinical Medicine,Impact Factor,"Medline, SCOPUS",Yes,2000 USD,Included
JRT,Journal of Rehabilitation and Assistive Technologies Engineering,Materials Science & Engineering,Materials Science & Engineering,,,Yes,750 USD,Included
JWR,SAGE Open: Journal of Workplace Rights,Business & Management,Political Science & International Relations,,SCOPUS,Yes,480 USD,
LFN,"Journal of Low Frequency Noise, Vibration & Active Control",Materials Science & Engineering,Materials Science & Engineering,,"ESCI, PMC, SCOPUS",Yes,1200 USD,
MAC,Measurement and Control,Materials Science & Engineering,Research Methods & Evaluation,Impact Factor,SCOPUS,Yes,1200 USD,
MAP,Medicine Access @ Point of Care,Clinical Medicine,Public Health,,PMC,Yes,None,Included
MAV,International Journal of Micro Air Vehicles,Materials Science & Engineering,Materials Science & Engineering,Impact Factor,"Medline, SCOPUS",Yes,900 USD,
MBI,Microbiology Insights,Life & Biomedical Sciences,Life & Biomedical Sciences,,SCOPUS,Yes,1500 USD,Included
MDE,Journal of Medical Education and Curricular Development,Clinical Medicine,Clinical Medicine,,,Yes,1355 USD,Included
MIO,Methodological Innovations,Research Methods & Evaluation,Sociology,,"ESCI, SCOPUS",Yes,None,
MIX,Molecular Imaging,Clinical Medicine,Other Health Specialties,Impact Factor,"Medline, SCOPUS",Yes,2000 USD,Included
STA,American String Teacher,Education,Arts & Humanities,,"Medline, PMC, SCOPUS",No,,
PRJ,Archive for the Psychology of Religion,"Religion, Theology and Biblical Studies",Psychology,Impact Factor,"ESCI, SCOPUS",No,,
TBT,"Bible Translator, The","Religion, Theology and Biblical Studies",Arts & Humanities,,,No,,
VOD,Contemporary Voice of Dalit,Sociology,Sociology,,"Medline, SCOPUS",No,,
TCP,"Counseling Psychologist, The","Psychology, Psychiatry & Counseling","Family Studies,Family Studies",Impact Factor,"ESCI, SCOPUS",No,,
TDE,"Diabetes Educator, The",Clinical Medicine,Clinical Medicine,Impact Factor,SCOPUS,No,,Included
TDR,Downside Review,"Religion, Theology and Biblical Studies",Arts & Humanities,,"Medline, SCOPUS",No,,
TFJ,"Family Journal, The","Psychology, Psychiatry & Counseling",Counseling & Psychotherapy,,"ESCI, SCOPUS",No,,
PED,Global Health Promotion,Public Health,Public Health,Impact Factor,SCOPUS,No,,
REF,International Journal of Educational Reform,Education,,,"Medline, SCOPUS",No,,
MRE,International Journal of Market Research,Sociology,Business & Management,Impact Factor,SCOPUS,No,,
PSM,International Journal of Police Science and Management,Criminology & Criminal Justice,Criminology & Criminal Justice,,,No,,
PRS,International Journal of Protective Structures,Materials Science & Engineering,Materials Science & Engineering,,"Medline, SCOPUS",No,,
SPS,International Journal of Space Structures,Materials Science & Engineering,Materials Science & Engineering,,SCOPUS,No,,
SPO,International Journal of Sports Science & Coaching,Sociology,Communication & Media Studies,Impact Factor,SCOPUS,No,,
STD,International Journal of STD & AIDS,Clinical Medicine,Clinical Medicine,Impact Factor,"PMC, SCOPUS",No,,
WSO,International Journal of Stroke,Neurology,Clinical Medicine,Impact Factor,,No,,Included
MRX,International Migration Review,Area & Ethnic Studies,Area & Ethnic Studies,Impact Factor,"Medline, SCOPUS",No,,
QCH,International Quarterly of Community Health Education,Public Health,Public Health,,SCOPUS,No,,Included
RAS,International Review of Administrative Sciences,Political Science & International Relations,Political Science & International Relations,Impact Factor,"ESCI, SCOPUS",No,,
URO,Journal of Clinical Urology,Clinical Medicine,Clinical Medicine,,"Medline, SCOPUS",No,,Included
PEV,Journal of Endometriosis and Pelvic Pain Disorders,Clinical Medicine,Clinical Medicine,,,No,,Included
TTC,Journal of Information Technology Teaching Cases,Science & Society Studies,Business & Management,,,No,,
MRJ,Journal of Marketing Research,Marketing & Hospitality,Business & Management,Impact Factor,SCOPUS,No,,
MSC,Journal of Medical Screening,Clinical Medicine,Other Health Specialties,Impact Factor,"Medline, SCOPUS",No,,
NNT,Journal of Neonatology,Clinical Medicine,Clinical Medicine,,ESCI,No,,Included
OPP,Journal of Oncology Pharmacy Practice,Pharmacology & Toxicology,Clinical Medicine,Impact Factor,SCOPUS,No,,
OSP,Journal of Operations and Strategic Planning,Economics & Development Studies,Business & Management,,"Medline, SCOPUS",No,,
PAL,Journal of Palliative Care,Clinical Medicine,Clinical Medicine,Impact Factor,SCOPUS,No,,Included
PCC,Journal of Pastoral Care & Counseling,"Religion, Theology and Biblical Studies",Counseling & Psychotherapy,,"ESCI, PMC",No,,
PPJ,Journal of Perioperative Practice,Other Health Specialties,Clinical Medicine,,SCOPUS,No,,
PMT,Journal of Pharmacy Technology,Pharmacology & Toxicology,Clinical Medicine,,SCOPUS,No,,Included
PBI,Journal of Positive Behavior Interventions,Education,Education,Impact Factor,,No,,
PRV,Journal of Prevention and Health Promotion,0,,,,No,,
PTJ,Journal of Psychology and Theology,"Religion, Theology and Biblical Studies",Education,Impact Factor,SCOPUS,No,,
PPO,Journal of Public Policy & Marketing,Marketing & Hospitality,Business & Management,Impact Factor,"ESCI, SCOPUS",No,,
SPR,Journal of Social and Personal Relationships,"Psychology, Psychiatry & Counseling",Communication & Media Studies,Impact Factor,"Medline, SCOPUS",No,,
SIS,Journal of Social Inclusion Studies,Sociology,Sociology,,"ESCI, SCOPUS",No,,
SAD,Journal of South Asian Development,Area & Ethnic Studies,Area & Ethnic Studies,Impact Factor,"Medline, SCOPUS",No,,
SED,"Journal of Special Education, The",Education,Education,Impact Factor,,No,,
SDJ,"Journal of Strain Analysis for Engineering Design, The",Materials Science & Engineering,Materials Science & Engineering,Impact Factor,ESCI,No,,
STM,Journal of Stroke Medicine,Clinical Medicine,Clinical Medicine,,SCOPUS,No,,Included
TCN,Journal of Transcultural Nursing,Nursing,Cultural Studies,Impact Factor,"ESCI, SCOPUS",No,,Included
VDI,Journal of Veterinary Diagnostic Investigation,Other Health Specialties,Clinical Medicine,Impact Factor,SCOPUS,No,,
VVJ,Journal of Victimology and Victim Justice,Criminology & Criminal Justice,Criminology & Criminal Justice,,SCOPUS,No,,
VCU,Journal of Visual Culture,Anthropology & Archaeology,Anthropology & Archaeology,Impact Factor,SCOPUS,No,,
VRD,Journal of VitreoRetinal Diseases,Clinical Medicine,Clinical Medicine,,"Medline, SCOPUS",No,,
WCC,Journal of White Collar and Corporate Crime,0,,,SCOPUS,No,,
MTR,Management Teaching Review,Business & Management,Business & Management,,"ESCI, SCOPUS",No,,
MTQ,Marketing Theory,Marketing & Hospitality,Business & Management,Impact Factor,,No,,
MWC,"Media, War & Conflict",Communication & Media Studies,Communication & Media Studies,,SCOPUS,No,,
MSL,"Medicine, Science and the Law",Other Health Specialties,Clinical Medicine,Impact Factor,PMC,No,,Included
MSS,Memory Studies,Anthropology & Archaeology,Anthropology & Archaeology,Impact Factor,SCOPUS,No,,
MSJ,Multiple Sclerosis Journal,Neurology,Clinical Medicine,Impact Factor,"Medline, SCOPUS",No,,
MSX,Musicae Scientiae,Arts & Humanities,Psychology,Impact Factor,SCOPUS,No,,
NAS,NASN School Nurse,Nursing,Nursing,,SCOPUS,No,,Included
NER,National Institute Economic Review,Economics & Development Studies,Economics & Development Studies,,"ESCI, Medline, PMC, SCOPUS",No,,
NQH,Netherlands Quarterly of Human Rights,Political Science & International Relations,Criminology & Criminal Justice,Impact Factor,SCOPUS,No,,
NHO,"Neurohospitalist, The",Neurology,Clinical Medicine,,,No,,
NEU,"Neuroradiology Journal, The",Clinical Medicine,Other Health Specialties,,"ESCI, Medline, SCOPUS",No,,
NNR,Neurorehabilitation and Neural Repair,Neurology,Clinical Medicine,Impact Factor,,No,,Included
NRO,"Neuroscientist, The",Neurology,Psychology,Impact Factor,"Medline, PMC",No,,
NJE,New Journal of European Criminal Law,Criminology & Criminal Justice,Vocational & Professional Studies,,,No,,
NLF,New Labor Forum,Sociology,Sociology,,"ESCI, PMC",No,,
NMS,New Media & Society,Communication & Media Studies,Sociology,Impact Factor,"Medline, SCOPUS",No,,
NEW,NEW SOLUTIONS: A Journal of Environmental and Occupational Health Policy,Public Health,Public Health,,"PMC, SCOPUS",No,,Included
NRJ,Newspaper Research Journal,Communication & Media Studies,Communication & Media Studies,,"Medline, SCOPUS",No,,
NHR,NHRD Network Journal,Business & Management,Business & Management,,,No,,
NCT,Nineteenth Century Theatre and Film,Cultural Studies,Cultural Studies,,"Medline, SCOPUS",No,,
NIR,NIR News,Materials Science & Engineering,"Maths, Physics, Chemistry & Computing",,,No,,
NVW,Noise & Vibration Worldwide,Materials Science & Engineering,Materials Science & Engineering,,SCOPUS,No,,
NVS,Nonprofit and Voluntary Sector Quarterly,Political Science & International Relations,Business & Management,Impact Factor,SCOPUS,No,,
NJN,Nordic Journal of Nursing Research,Nursing,Nursing,,SCOPUS,No,,
NAA,North American Archaeologist,Anthropology & Archaeology,Anthropology & Archaeology,,PMC,No,,
NEJ,Nursing Ethics,Nursing,Other Health Specialties,Impact Factor,"ESCI, SCOPUS",No,,
NSQ,Nursing Science Quarterly,Nursing,Nursing,Impact Factor,SCOPUS,No,,Included
NAH,Nutrition and Health,Other Health Specialties,Other Health Specialties,,"Medline, SCOPUS",No,,Included
OBM,Obstetric Medicine,Clinical Medicine,Public Health,,"ESCI, PMC",No,,
OME,OMEGA - Journal of Death and Dying,"Psychology, Psychiatry & Counseling",Aging & Gerontology,Impact Factor,"Medline, SCOPUS",No,,
ORG,Organization,Business & Management,Business & Management,Impact Factor,,No,,
OAE,Organization & Environment,Business & Management,"Geography, Earth & Environmental Science",Impact Factor,"Medline, SCOPUS",No,,
OSS,Organization Studies,Business & Management,Business & Management,Impact Factor,"ESCI, SCOPUS",No,,
OPR,Organizational Psychology Review,"Psychology, Psychiatry & Counseling",Business & Management,Impact Factor,"Medline, SCOPUS",No,,
ORM,Organizational Research Methods,Business & Management,Business & Management,Impact Factor,SCOPUS,No,,
OAN,Oriental Anthropologist,Anthropology & Archaeology,Anthropology & Archaeology,,,No,,
OTJ,"OTJR: Occupation, Participation and Health",Other Health Specialties,Clinical Medicine,Impact Factor,"Medline, SCOPUS",No,,
OTO,Otolaryngology-Head and Neck Surgery,Clinical Medicine,Clinical Medicine,Impact Factor,,No,,
OAG,Outlook on Agriculture,Economics & Development Studies,Plant & Agricultural Sciences,Impact Factor,"ESCI, PMC, SCOPUS",No,,
PAN,Pain News,Clinical Medicine,Clinical Medicine,,"ESCI, Medline, SCOPUS",No,,
PMJ,Palliative Medicine,Aging & Gerontology,Aging & Gerontology,Impact Factor,"Medline, SCOPUS",No,,
PAR,Paradigm,Business & Management,Business & Management,,"ESCI, Medline",No,,
PPQ,Party Politics,Political Science & International Relations,Political Science & International Relations,Impact Factor,"Medline, SCOPUS",No,,
PHP,Pedagogy in Health Promotion,Public Health,Public Health,,SCOPUS,No,,Included
PDP,Pediatric and Developmental Pathology,Clinical Medicine,Clinical Medicine,Impact Factor,"ESCI, SCOPUS",No,,Included
PEC,Perception,"Psychology, Psychiatry & Counseling",Psychology,Impact Factor,"ESCI, SCOPUS",No,,
PMS,Perceptual and Motor Skills,"Psychology, Psychiatry & Counseling",Psychology,Impact Factor,SCOPUS,No,,
PRF,Perfusion,Cardiology & Cardiovascular Medicine,Aging & Gerontology,Impact Factor,SCOPUS,No,,
PSP,Personality and Social Psychology Bulletin,"Psychology, Psychiatry & Counseling",Psychology,Impact Factor,SCOPUS,No,,
PSR,Personality and Social Psychology Review,"Psychology, Psychiatry & Counseling",Psychology,Impact Factor,SCOPUS,No,,
RSH,Perspectives in Public Health,Public Health,Public Health,Impact Factor,"ESCI, SCOPUS",No,,
PPS,Perspectives on Psychological Science,"Psychology, Psychiatry & Counseling",Psychology,Impact Factor,"ESCI, SCOPUS",No,,
PDK,Phi Delta Kappan Magazine,Education,Education,Impact Factor,,No,,
PSC,Philosophy & Social Criticism,Arts & Humanities,Arts & Humanities,,"Medline, SCOPUS",No,,
POS,Philosophy of the Social Sciences,Arts & Humanities,Arts & Humanities,Impact Factor,SCOPUS,No,,
PHL,Phlebology,Cardiology & Cardiovascular Medicine,Clinical Medicine,Impact Factor,SCOPUS,No,,
PLT,Planning Theory,"Geography, Earth & Environmental Science","Geography, Earth & Environmental Science",Impact Factor,SCOPUS,No,,
PSG,Plastic Surgery,Clinical Medicine,Clinical Medicine,Impact Factor,"Medline, SCOPUS",No,,
PJX,"Police Journal: Theory, Practice and Principles",Criminology & Criminal Justice,Criminology & Criminal Justice,,"ESCI, PMC, SCOPUS",No,,
PQX,Police Quarterly,Criminology & Criminal Justice,Criminology & Criminal Justice,Impact Factor,SCOPUS,No,,
PFE,Policy Futures in Education,Education,Education,,"Medline, PMC, SCOPUS",No,,Included
PPN,"Policy, Politics, & Nursing Practice",Nursing,Nursing,,SCOPUS,No,,Included
PLI,Political Insight,Political Science & International Relations,Political Science & International Relations,,"Medline, SCOPUS",No,,
PRQ,Political Research Quarterly,Political Science & International Relations,Political Science & International Relations,Impact Factor,PMC,No,,
PSX,Political Studies,Political Science & International Relations,Political Science & International Relations,Impact Factor,"Medline, SCOPUS",No,,
PSW,Political Studies Review,Political Science & International Relations,Political Science & International Relations,Impact Factor,SCOPUS,No,,
PTX,Political Theory,Political Science & International Relations,Political Science & International Relations,Impact Factor,"ESCI, Medline, SCOPUS",No,,
POL,Politics,Political Science & International Relations,Political Science & International Relations,Impact Factor,SCOPUS,No,,
PAS,Politics & Society,Political Science & International Relations,Sociology,Impact Factor,"PMC, SCOPUS",No,,
PPE,"Politics, Philosophy & Economics",Arts & Humanities,Arts & Humanities,Impact Factor,"Medline, SCOPUS",No,,
PPC,Polymers and Polymer Composites,Materials Science & Engineering,Materials Science & Engineering,Impact Factor,SCOPUS,No,,
PRR,Polymers from Renewable Resources,Materials Science & Engineering,Materials Science & Engineering,,"ESCI, SCOPUS",No,,
PAE,Power and Education,Education,Education,,"ESCI, PMC, SCOPUS",No,,
TPJ,"Prison Journal, The",Criminology & Criminal Justice,Criminology & Criminal Justice,Impact Factor,SCOPUS,No,,
PRE,Pro Ecclesia,Theology & Biblical Studies,Arts & Humanities,,SCOPUS,No,,
PRB,Probation Journal,Criminology & Criminal Justice,Criminology & Criminal Justice,,,No,,
PRO,Proceedings of the Human Factors and Ergonomics Society Annual Meeting,"Psychology, Psychiatry & Counseling","Counseling & Psychotherapy,Counseling & Psychotherapy",,"Medline, SCOPUS",No,,
PIA,"Proceedings of the Institution of Mechanical Engineers, Part A: Journal of Power and Energy",Materials Science & Engineering,Materials Science & Engineering,Impact Factor,SCOPUS,No,,
PIB,"Proceedings of the Institution of Mechanical Engineers, Part B: Journal of Engineering Manufacture",Materials Science & Engineering,Materials Science & Engineering,Impact Factor,SCOPUS,No,,
